,Founded,Company,Sector,Headquarters,Investors Name,Stage,Amount,Industry Vertical,Year,numberofinvestors
0,09-01-2020,BYJU’S,E-learning,bengaluru,Tiger Global Management,privateequityround,200000000,E-Tech,2020,1
1,13-01-2020,Shuttl,App based shuttle service,gurgaon,Susquehanna Growth Equity,seriesc,8048394,Transportation,2020,1
2,09-01-2020,Mamaearth,Retailer of baby and toddler products,bengaluru,Sequoia Capital India,seriesb,18358860,E-commerce,2020,1
3,02-01-2020,https://www.wealthbucket.in/,Online Investment,new delhi,Vinod Khatumal,pre-seriesa,3000000,FinTech,2020,1
4,02-01-2020,Fashor,Embroiled Clothes For Women,mumbai,Sprout Venture Partners,seedround,1800000,Fashion and Apparel,2020,1
5,13-01-2020,Pando,"Open-market, freight management platform",chennai,Chiratae Ventures,seriesa,9000000,Logistics,2020,1
6,10-01-2020,Zomato,Online Food Delivery Platform,gurgaon,Ant Financial,privateequityround,150000000,Hospitality,2020,1
7,12-12-2019,Ecozen,Agritech,pune,Sathguru Catalyzer Advisors,seriesa,6000000,Technology,2019,1
8,06-12-2019,CarDekho,Automobile,gurgaon,Ping An Global Voyager Fund,seriesd,70000000,E-Commerce,2019,1
9,03-12-2019,Dhruva,Satellite Communication,bengaluru,"Mumbai Angels, Ravikanth Reddy",seed,50000000,Aerospace,2019,1
10,13-12-2019,Rivigo,Logistics Services and Solutions,gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",seriesf,20000000,Technology,2019,1
11,17-12-2019,Healthi,Food Solutions For Corporate,bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",seriesc,12000000,B2B-focused foodtech startup,2019,1
12,16-12-2019,Licious,Online Meat And Seafood Ordering Startup,bengaluru,Vertex Growth Fund,seriese,30000000,E-Commerce,2019,1
13,14-12-2019,Trell,Experience Discovery Platform,bengaluru,Ruizheng Investment,seedround,2000000,Video,2019,1
14,11-12-2019,Rein Games,Real money based gaming startup,noida,Manipal Education and Medical Group (MEMG),seedround,50000000,Gaming,2019,1
15,20-12-2019,Lenskart,Online Eyewear Shopping Portal,faridabad,SoftBank Vision Fund,seriesg,231000000,E-Commerce,2019,1
16,14-11-2019,Misters,Men's Health and Wellness brand,gurgaon,"Sauce.vc, Rainforest Ventures",seriesb,486000,Health and wellness,2019,1
17,13-11-2019,Sunstone Eduversity,Elearning,gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",seed,1500000,Education,2019,1
18,18-11-2019,Healthi,Healthcare services,gurgaon,"DG Daiwa Ventures, DG Incubation",seriesb,12000000,Health and Wellness,2019,1
19,15-11-2019,Ninjacart,Agritech,bengaluru,Trifecta Capital Advisors,debtfunding,26000000,B2B Marketing,2019,1
20,20-11-2019,Fi,Financial Services To MSMEs,gurgaon,FinTech,debtfunding,17411265,FinTech,2019,1
21,12-11-2019,SuperGaming,Social gaming platform,pune,Dream Incubator,seedfunding,1300000,Video Games,2019,1
22,20-11-2019,Clumio,Recovery software,"san jose,","Altimeter Capital, Sutter Hill Ventures",seriesc,135000000,SaaS,2019,1
23,11-11-2019,eBikeGo,Electric bike rental,amritsar,Startup Buddy,seed,300000,Last Mile Transportation,2019,1
24,19-11-2019,Digit,Virtual e-commerce platform,delhi,Amour Infrastructure,seedfunding,220000000,E-Commerce,2019,1
25,18-11-2019,Medikabazaar,B2B platform for medical supplies,mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",seriesb,15800000,Healthcare,2019,1
26,15-11-2019,Vogo Automotive,Scooter sharing app,kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",seriesb,283000000,Last Mile Transportation,2019,1
27,25-11-2019,Paytm,Mobile Wallet,noida,Vijay Shekhar Sharma,fundinground,1000000000,FinTech,2019,1
28,04-10-2019,Dunzo,Delivery Service,bengaluru,Lightbox,seriesd,45000000,Customer Service,2019,1
29,02-10-2019,Udaan,Business development,bengaluru,"Altimeter Capital, DST Global",seriesd,585000000,B2B,2019,1
30,05-09-2019,FPL Technologies,Financial Services,pune,"Matrix Partners India, Sequoia India",maidenround,4500000,FinTech,2019,1
31,04-09-2019,Cashflo,Invoice discounting platform and SME lending marketplace,mumbai,SAIF Partners,seriesa,3300000,FinTech,2019,1
32,04-09-2019,Digit,Digital marketing firm,mumbai,TIW Private Equity,privateequityround,6000000,"Advertising, Marketing",2019,1
33,04-09-2019,3rdFlix,Education Technology,hyderabad,Exfinity Venture Partners,pre-seriesa,5000000,SaaS,2019,1
34,04-09-2019,75F,Building automation system,burnsville,Breakthrough Energy Ventures,seriesa,18000000,IoT,2019,1
35,04-09-2019,Myelin Foundry,Deep-technology,bengaluru,Endiya Partners,seed,1000000,Information Technology,2019,1
36,04-09-2019,Atomberg,"Consumer Electronics, Home Appliances",mumbai,A91 Partners,seriesa,10000000,Consumer Technology,2019,1
37,04-09-2019,GOQii,Wearable Fitness Bands,menlo park,Bennett Coleman and Company Ltd (BCCL),seriesc,450000000,Health and Wellness,2019,1
38,03-09-2019,Vyapar App,Mobile-based Accounting Software,bengaluru,"India Quotient, Axilor Ventures",seriesa,5000000,Accounting,2019,1
39,01-08-2019,CarDekho,Automotive,gurgaon,SC GG India Mobility Holdings LLC,seriesc,20000000,E-Commerce,2019,1
40,01-08-2019,Progcap,Supply Chain Management,new delhi,Sequoia India,seriesa,5000000,Finance,2019,1
41,01-08-2019,Alteria Capital,VC Funds,mumbai,"Azim Premji, Binny Bansal",singleventure,140000000,Finance,2019,1
42,01-08-2019,Pine Labs,Last-mile retail transaction technology,noida,Pine Labs Pte Ltd,corporateround,38080000,Information Technology,2019,1
